Variable.Name	Variable.Description	Code.or.Value	Value.Description
OHDDESTS	Dentition Status Code	1	Complete
OHDDESTS	Dentition Status Code	2	Partial
OHDDESTS	Dentition Status Code	3	Not Done
OHDDESTS	Dentition Status Code	.	Missing
OHDEXSTS	Overall Oral Health Exam Status	1	Complete
OHDEXSTS	Overall Oral Health Exam Status	2	Partial
OHDEXSTS	Overall Oral Health Exam Status	3	Not Done
OHDEXSTS	Overall Oral Health Exam Status	.	Missing
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	1	Primary tooth (deciduous) present
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	2	Permanent tooth present
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	3	Dental implant
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	4	Tooth not present
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	5	Permanent dental root fragment present
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	9	Could not assess
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)	.	Missing
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	Coronal Caries:  Surface condition #2	Value was recorded
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	0	Lingual surface caries
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	1	Occlusal/incisal caries
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	2	Facial surface caries
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	3	Mesial caries
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	4	Distal caries
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	5	Lingual surface restoration
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	6	Occlusal/incisal restoration
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	7	Facial surface restoration
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	8	Mesial restoration
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	9	Distal restoration
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.	< blank >	Missing
"These values can be recorded as a string variable, for example:""0"", "			
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	D	Sound primary tooth
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	E	Missing due to dental disease
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	K	Primary tooth with surface condition (s)
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	M	Missing due to other causes
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code	P	Missing due to dental disease but replaced by a removable restoration
