Code.or.Value	Value.Description	Variable.Name
1	Complete	OHDDESTS
2	Partial	OHDDESTS
3	Not Done	OHDDESTS
.	Missing	OHDDESTS
1	Complete	OHDEXSTS
2	Partial	OHDEXSTS
3	Not Done	OHDEXSTS
.	Missing	OHDEXSTS
1	Primary tooth (deciduous) present	OHX01TC
2	Permanent tooth present	OHX01TC
3	Dental implant	OHX01TC
4	Tooth not present	OHX01TC
5	Permanent dental root fragment present	OHX01TC
9	Could not assess	OHX01TC
.	Missing	OHX01TC
Coronal Caries:  Surface condition #2	Value was recorded	OHX02CSC
0	Lingual surface caries	OHX02CSC
1	Occlusal/incisal caries	OHX02CSC
2	Facial surface caries	OHX02CSC
3	Mesial caries	OHX02CSC
4	Distal caries	OHX02CSC
5	Lingual surface restoration	OHX02CSC
6	Occlusal/incisal restoration	OHX02CSC
7	Facial surface restoration	OHX02CSC
8	Mesial restoration	OHX02CSC
9	Distal restoration	OHX02CSC
< blank >	Missing	OHX02CSC
D	Sound primary tooth	OHX02CTC
E	Missing due to dental disease	OHX02CTC
J	Permanent root tip is present but no restorative replacement is present	OHX02CTC
K	Primary tooth with surface condition (s)	OHX02CTC
M	Missing due to other causes	OHX02CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX02CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX02CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX02CTC
S	Sound permanent tooth	OHX02CTC
T	Permanent root tip is present but a restorative replacement is present	OHX02CTC
U	Unerupted	OHX02CTC
X	Missing due to other causes, but replaced  by a fixed restoration	OHX02CTC
Y	Tooth present, condition cannot be assessed	OHX02CTC
Z	Permanent tooth with surface condition (s)	OHX02CTC
< blank >	Missing	OHX02CTC
Dental Sealants:  #2	Value was recorded	OHX02SE
0	Sealant not present	OHX02SE
1	Occlusal sealant on permanent tooth	OHX02SE
2	Facial sealant on permanent tooth	OHX02SE
3	Lingual sealant on permanent tooth	OHX02SE
4	Occlusal sealant on primary tooth	OHX02SE
9	Cannot be assessed	OHX02SE
< blank >	Missing	OHX02SE
1	Primary tooth (deciduous) present	OHX02TC
2	Permanent tooth present	OHX02TC
3	Dental implant	OHX02TC
4	Tooth not present	OHX02TC
5	Permanent dental root fragment present	OHX02TC
9	Could not assess	OHX02TC
.	Missing	OHX02TC
Coronal Caries:  Surface condition #3	Value was recorded	OHX03CSC
0	Lingual surface caries	OHX03CSC
1	Occlusal/incisal caries	OHX03CSC
2	Facial surface caries	OHX03CSC
3	Mesial caries	OHX03CSC
4	Distal caries	OHX03CSC
5	Lingual surface restoration	OHX03CSC
6	Occlusal/incisal restoration	OHX03CSC
7	Facial surface restoration	OHX03CSC
8	Mesial restoration	OHX03CSC
9	Distal restoration	OHX03CSC
< blank >	Missing	OHX03CSC
D	Sound primary tooth	OHX03CTC
E	Missing due to dental disease	OHX03CTC
J	Permanent root tip is present but no restorative replacement is present	OHX03CTC
K	Primary tooth with surface condition (s)	OHX03CTC
M	Missing due to other causes	OHX03CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX03CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX03CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX03CTC
S	Sound permanent tooth	OHX03CTC
T	Permanent root tip is present but a restorative replacement is present	OHX03CTC
U	Unerupted	OHX03CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX03CTC
Y	Tooth present, condition cannot be assessed	OHX03CTC
Z	Permanent tooth with surface condition (s)	OHX03CTC
< blank >	Missing	OHX03CTC
Dental Sealants:  #3	Value was recorded	OHX03SE
0	Sealant not present	OHX03SE
1	Occlusal sealant on permanent tooth	OHX03SE
2	Facial sealant on permanent tooth	OHX03SE
3	Lingual sealant on permanent tooth	OHX03SE
4	Occlusal sealant on primary tooth	OHX03SE
9	Cannot be assessed	OHX03SE
< blank >	Missing	OHX03SE
1	Primary tooth (deciduous) present	OHX03TC
2	Permanent tooth present	OHX03TC
3	Dental implant	OHX03TC
4	Tooth not present	OHX03TC
5	Permanent dental root fragment present	OHX03TC
9	Could not assess	OHX03TC
.	Missing	OHX03TC
Coronal Caries:  Surface condition #4	Value was recorded	OHX04CSC
0	Lingual surface caries	OHX04CSC
1	Occlusal/incisal caries	OHX04CSC
2	Facial surface caries	OHX04CSC
3	Mesial caries	OHX04CSC
4	Distal caries	OHX04CSC
5	Lingual surface restoration	OHX04CSC
6	Occlusal/incisal restoration	OHX04CSC
7	Facial surface restoration	OHX04CSC
8	Mesial restoration	OHX04CSC
9	Distal restoration	OHX04CSC
< blank >	Missing	OHX04CSC
D	Sound primary tooth	OHX04CTC
E	Missing due to dental disease	OHX04CTC
J	Permanent root tip is present but no restorative replacement is present	OHX04CTC
K	Primary tooth with surface condition (s)	OHX04CTC
M	Missing due to other causes	OHX04CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX04CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX04CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX04CTC
S	Sound permanent tooth	OHX04CTC
T	Permanent root tip is present but a restorative replacement is present	OHX04CTC
U	Unerupted	OHX04CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX04CTC
Y	Tooth present, condition cannot be assessed	OHX04CTC
Z	Permanent tooth with surface condition (s)	OHX04CTC
< blank >	Missing	OHX04CTC
0	Sealant not present	OHX04SE
1	Occlusal sealant on permanent tooth	OHX04SE
2	Facial sealant on permanent tooth	OHX04SE
3	Lingual sealant on permanent tooth	OHX04SE
4	Occlusal sealant on primary tooth	OHX04SE
9	Cannot be assessed	OHX04SE
< blank >	Missing	OHX04SE
1	Primary tooth (deciduous) present	OHX04TC
2	Permanent tooth present	OHX04TC
3	Dental implant	OHX04TC
4	Tooth not present	OHX04TC
5	Permanent dental root fragment present	OHX04TC
9	Could not assess	OHX04TC
.	Missing	OHX04TC
Coronal Caries:  Surface condition #5	Value was recorded	OHX05CSC
0	Lingual surface caries	OHX05CSC
1	Occlusal/incisal caries	OHX05CSC
2	Facial surface caries	OHX05CSC
3	Mesial caries	OHX05CSC
4	Distal caries	OHX05CSC
5	Lingual surface restoration	OHX05CSC
6	Occlusal/incisal restoration	OHX05CSC
7	Facial surface restoration	OHX05CSC
8	Mesial restoration	OHX05CSC
9	Distal restoration	OHX05CSC
< blank >	Missing	OHX05CSC
D	Sound primary tooth	OHX05CTC
E	Missing due to dental disease	OHX05CTC
J	Permanent root tip is present but no restorative replacement is present	OHX05CTC
K	Primary tooth with surface condition (s)	OHX05CTC
M	Missing due to other causes	OHX05CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX05CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX05CTC
R	Missing due to dental disease,  but replaced by a fixed restoration	OHX05CTC
S	Sound permanent tooth	OHX05CTC
T	Permanent root tip is present but a restorative replacement is present	OHX05CTC
U	Unerupted	OHX05CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX05CTC
Y	Tooth present, condition cannot be assessed	OHX05CTC
Z	Permanent tooth with surface condition (s)	OHX05CTC
< blank >	Missing	OHX05CTC
0	Sealant not present	OHX05SE
1	Occlusal sealant on permanent tooth	OHX05SE
2	Facial sealant on permanent tooth	OHX05SE
3	Lingual sealant on permanent tooth	OHX05SE
4	Occlusal sealant on primary tooth	OHX05SE
9	Cannot be assessed	OHX05SE
< blank >	Missing	OHX05SE
1	Primary tooth (deciduous) present	OHX05TC
2	Permanent tooth present	OHX05TC
3	Dental implant	OHX05TC
4	Tooth not present	OHX05TC
5	Permanent dental root fragment present	OHX05TC
9	Could not assess	OHX05TC
.	Missing	OHX05TC
Coronal Caries:  Surface condition #6	Value was recorded	OHX06CSC
0	Lingual surface caries	OHX06CSC
2	Facial surface caries	OHX06CSC
3	Mesial caries	OHX06CSC
4	Distal caries	OHX06CSC
5	Lingual surface restoration	OHX06CSC
7	Facial surface restoration	OHX06CSC
8	Mesial restoration	OHX06CSC
9	Distal restoration	OHX06CSC
< blank >	Missing	OHX06CSC
D	Sound primary tooth	OHX06CTC
E	Missing due to dental disease	OHX06CTC
J	Permanent root tip is present but no restorative replacement is present	OHX06CTC
K	Primary tooth with surface condition (s)	OHX06CTC
M	Missing due to other causes	OHX06CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX06CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX06CTC
R	Missing due to dental disease,  but replaced by a fixed restoration	OHX06CTC
S	Sound permanent tooth	OHX06CTC
T	Permanent root tip is present but a restorative replacement is present	OHX06CTC
U	Unerupted	OHX06CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX06CTC
Y	Tooth present, condition cannot be assessed	OHX06CTC
Z	Permanent tooth with surface condition (s)	OHX06CTC
< blank >	Missing	OHX06CTC
1	Primary tooth (deciduous) present	OHX06TC
2	Permanent tooth present	OHX06TC
3	Dental implant	OHX06TC
4	Tooth not present	OHX06TC
5	Permanent dental root fragment present	OHX06TC
9	Could not assess	OHX06TC
.	Missing	OHX06TC
Coronal Caries:  Surface condition #7	Value was recorded	OHX07CSC
0	Lingual surface caries	OHX07CSC
2	Facial surface caries	OHX07CSC
3	Mesial caries	OHX07CSC
4	Distal caries	OHX07CSC
5	Lingual surface restoration	OHX07CSC
7	Facial surface restoration	OHX07CSC
8	Mesial restoration	OHX07CSC
9	Distal restoration	OHX07CSC
< blank >	Missing	OHX07CSC
D	Sound primary tooth	OHX07CTC
E	Missing due to dental disease	OHX07CTC
J	Permanent root tip is present but no restorative replacement is present	OHX07CTC
K	Primary tooth with surface condition (s)	OHX07CTC
M	Missing due to other causes	OHX07CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX07CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX07CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX07CTC
S	Sound permanent tooth	OHX07CTC
T	Permanent root tip is present but a restorative replacement is present	OHX07CTC
U	Unerupted	OHX07CTC
X	Missing due to other causes, but replaced but replaced by a fixed restoration	OHX07CTC
Y	Tooth present, condition cannot be assessed	OHX07CTC
Z	Permanent tooth with surface condition (s)	OHX07CTC
< blank >	Missing	OHX07CTC
0	Sealant not present	OHX07SE
1	Occlusal sealant on permanent tooth	OHX07SE
2	Facial sealant on permanent tooth	OHX07SE
3	Lingual sealant on permanent tooth	OHX07SE
4	Occlusal sealant on primary tooth	OHX07SE
9	Cannot be assessed	OHX07SE
< blank >	Missing	OHX07SE
1	Primary tooth (deciduous) present	OHX07TC
2	Permanent tooth present	OHX07TC
3	Dental implant	OHX07TC
4	Tooth not present	OHX07TC
5	Permanent dental root fragment present	OHX07TC
9	Could not assess	OHX07TC
.	Missing	OHX07TC
Coronal Caries:  Surface condition #8	Value was recorded	OHX08CSC
0	Lingual surface caries	OHX08CSC
2	Facial surface caries	OHX08CSC
3	Mesial caries	OHX08CSC
4	Distal caries	OHX08CSC
5	Lingual surface restoration	OHX08CSC
7	Facial surface restoration	OHX08CSC
8	Mesial restoration	OHX08CSC
9	Distal restoration	OHX08CSC
< blank >	Missing	OHX08CSC
D	Sound primary tooth	OHX08CTC
E	Missing due to dental disease	OHX08CTC
J	Permanent root tip is present but no restorative replacement is present	OHX08CTC
K	Primary tooth with surface condition (s)	OHX08CTC
M	Missing due to other causes	OHX08CTC
P	Missing  due to dental disease but replaced by a removable restoration	OHX08CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX08CTC
R	Missing due to dental disease but replaced by a fixed restoration	OHX08CTC
S	Sound permanent tooth	OHX08CTC
T	Permanent root tip is present but a restorative replacement is present	OHX08CTC
U	Unerupted	OHX08CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX08CTC
Y	Tooth present, condition cannot be assessed	OHX08CTC
Z	Permanent tooth with surface condition (s)	OHX08CTC
< blank >	Missing	OHX08CTC
1	Primary tooth (deciduous) present	OHX08TC
2	Permanent tooth present	OHX08TC
3	Dental implant	OHX08TC
4	Tooth not present	OHX08TC
5	Permanent dental root fragment present	OHX08TC
9	Could not assess	OHX08TC
.	Missing	OHX08TC
Coronal Caries:  Surface condition #9	Value was recorded	OHX09CSC
0	Lingual surface caries	OHX09CSC
2	Facial surface caries	OHX09CSC
3	Mesial caries	OHX09CSC
4	Distal caries	OHX09CSC
5	Lingual surface restoration	OHX09CSC
7	Facial surface restoration	OHX09CSC
8	Mesial restoration	OHX09CSC
9	Distal restoration	OHX09CSC
< blank >	Missing	OHX09CSC
D	Sound primary tooth	OHX09CTC
E	Missing due to dental disease	OHX09CTC
J	Permanent root tip is present but no restorative replacement is present	OHX09CTC
K	Primary tooth with surface condition (s)	OHX09CTC
M	Missing due to other causes	OHX09CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX09CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX09CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX09CTC
S	Sound permanent tooth	OHX09CTC
T	Permanent root tip is present but a restorative replacement is present	OHX09CTC
U	Unerupted	OHX09CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX09CTC
Y	Tooth present, condition cannot be assessed	OHX09CTC
Z	Permanent tooth with surface condition (s)	OHX09CTC
< blank >	Missing	OHX09CTC
1	Primary tooth (deciduous) present	OHX09TC
2	Permanent tooth present	OHX09TC
3	Dental implant	OHX09TC
4	Tooth not present	OHX09TC
5	Permanent dental root fragment present	OHX09TC
9	Could not assess	OHX09TC
.	Missing	OHX09TC
Coronal Caries:  Surface condition #10	Value was recorded	OHX10CSC
0	Lingual surface caries	OHX10CSC
2	Facial surface caries	OHX10CSC
3	Mesial caries	OHX10CSC
4	Distal caries	OHX10CSC
5	Lingual surface restoration	OHX10CSC
7	Facial surface restoration	OHX10CSC
8	Mesial restoration	OHX10CSC
9	Distal restoration	OHX10CSC
< blank >	Missing	OHX10CSC
D	Sound primary tooth	OHX10CTC
E	Missing due to dental disease	OHX10CTC
J	Permanent root tip is present but no restorative replacement is present	OHX10CTC
K	Primary tooth with surface condition (s)	OHX10CTC
M	Missing due to other causes	OHX10CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX10CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX10CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX10CTC
S	Sound permanent tooth	OHX10CTC
T	Permanent root tip is present but a restorative replacement is present	OHX10CTC
U	Unerupted	OHX10CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX10CTC
Y	Tooth present, condition cannot be assessed	OHX10CTC
Z	Permanent tooth with surface condition (s)	OHX10CTC
< blank >	Missing	OHX10CTC
0	Sealant not present	OHX10SE
1	Occlusal sealant on permanent tooth	OHX10SE
2	Facial sealant on permanent tooth	OHX10SE
3	Lingual sealant on permanent tooth	OHX10SE
4	Occlusal sealant on primary tooth	OHX10SE
9	Cannot be assessed	OHX10SE
< blank >	Missing	OHX10SE
1	Primary tooth (deciduous) present	OHX10TC
2	Permanent tooth present	OHX10TC
3	Dental implant	OHX10TC
4	Tooth not present	OHX10TC
5	Permanent dental root fragment present	OHX10TC
9	Could not assess	OHX10TC
.	Missing	OHX10TC
Coronal Caries:  Surface condition #11	Value was recorded	OHX11CSC
0	Lingual surface caries	OHX11CSC
2	Facial surface caries	OHX11CSC
3	Mesial caries	OHX11CSC
4	Distal caries	OHX11CSC
5	Lingual surface restoration	OHX11CSC
7	Facial surface restoration	OHX11CSC
8	Mesial restoration	OHX11CSC
9	Distal restoration	OHX11CSC
< blank >	Missing	OHX11CSC
D	Sound primary tooth	OHX11CTC
E	Missing due to dental disease	OHX11CTC
J	Permanent root tip is present but no restorative replacement is present	OHX11CTC
K	Primary tooth with surface condition (s)	OHX11CTC
M	Missing due to other causes	OHX11CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX11CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX11CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX11CTC
S	Sound permanent tooth	OHX11CTC
T	Permanent root tip is present but a restorative replacement is present	OHX11CTC
U	Unerupted	OHX11CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX11CTC
Y	Tooth present, condition cannot be assessed	OHX11CTC
Z	Permanent tooth with surface condition (s)	OHX11CTC
< blank >	Missing	OHX11CTC
1	Primary tooth (deciduous) present	OHX11TC
2	Permanent tooth present	OHX11TC
3	Dental implant	OHX11TC
4	Tooth not present	OHX11TC
5	Permanent dental root fragment present	OHX11TC
9	Could not assess	OHX11TC
.	Missing	OHX11TC
Coronal Caries:  Surface condition #12	Value was recorded	OHX12CSC
0	Lingual surface caries	OHX12CSC
1	Occlusal/incisal caries	OHX12CSC
2	Facial surface caries	OHX12CSC
3	Mesial caries	OHX12CSC
4	Distal caries	OHX12CSC
5	Lingual surface restoration	OHX12CSC
6	Occlusal/incisal restoration	OHX12CSC
7	Facial surface restoration	OHX12CSC
8	Mesial restoration	OHX12CSC
9	Distal restoration	OHX12CSC
< blank >	Missing	OHX12CSC
D	Sound primary tooth	OHX12CTC
E	Missing due to dental disease	OHX12CTC
J	Permanent root tip is present but no restorative replacement is present	OHX12CTC
K	Primary tooth with surface condition (s)	OHX12CTC
M	Missing due to other causes	OHX12CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX12CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX12CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX12CTC
S	Sound permanent tooth	OHX12CTC
T	Permanent root tip is present but a restorative replacement is present	OHX12CTC
U	Unerupted	OHX12CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX12CTC
Y	Tooth present, condition cannot be assessed	OHX12CTC
Z	Permanent tooth with surface condition (s)	OHX12CTC
< blank >	Missing	OHX12CTC
0	Sealant not present	OHX12SE
1	Occlusal sealant on permanent tooth	OHX12SE
2	Facial sealant on permanent tooth	OHX12SE
3	Lingual sealant on permanent tooth	OHX12SE
4	Occlusal sealant on primary tooth	OHX12SE
9	Cannot be assessed	OHX12SE
< blank >	Missing	OHX12SE
1	Primary tooth (deciduous) present	OHX12TC
2	Permanent tooth present	OHX12TC
3	Dental implant	OHX12TC
4	Tooth not present	OHX12TC
5	Permanent dental root fragment present	OHX12TC
9	Could not assess	OHX12TC
.	Missing	OHX12TC
Coronal Caries:  Surface condition #13	Value was recorded	OHX13CSC
0	Lingual surface caries	OHX13CSC
1	Occlusal/incisal caries	OHX13CSC
2	Facial surface caries	OHX13CSC
3	Mesial caries	OHX13CSC
4	Distal caries	OHX13CSC
5	Lingual surface restoration	OHX13CSC
6	Occlusal/incisal restoration	OHX13CSC
7	Facial surface restoration	OHX13CSC
8	Mesial restoration	OHX13CSC
9	Distal restoration	OHX13CSC
< blank >	Missing	OHX13CSC
D	Sound primary tooth	OHX13CTC
E	Missing due to dental disease	OHX13CTC
J	Permanent root tip is present but no restorative replacement is present	OHX13CTC
K	Primary tooth with surface condition (s)	OHX13CTC
M	Missing due to other causes	OHX13CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX13CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX13CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX13CTC
S	Sound permanent tooth	OHX13CTC
T	Permanent root tip is present but a restorative replacement is present	OHX13CTC
U	Unerupted	OHX13CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX13CTC
Y	Tooth present, condition cannot be assessed	OHX13CTC
Z	Permanent tooth with surface condition (s)	OHX13CTC
< blank >	Missing	OHX13CTC
0	Sealant not present	OHX13SE
1	Occlusal sealant on permanent tooth	OHX13SE
2	Facial sealant on permanent tooth	OHX13SE
3	Lingual sealant on permanent tooth	OHX13SE
4	Occlusal sealant on primary tooth	OHX13SE
9	Cannot be assessed	OHX13SE
< blank >	Missing	OHX13SE
1	Primary tooth (deciduous) present	OHX13TC
2	Permanent tooth present	OHX13TC
3	Dental implant	OHX13TC
4	Tooth not present	OHX13TC
5	Permanent dental root fragment present	OHX13TC
9	Could not assess	OHX13TC
.	Missing	OHX13TC
Coronal Caries:  Surface condition #14	Value was recorded	OHX14CSC
0	Lingual surface caries	OHX14CSC
1	Occlusal/incisal caries	OHX14CSC
2	Facial surface caries	OHX14CSC
3	Mesial caries	OHX14CSC
4	Distal caries	OHX14CSC
5	Lingual surface restoration	OHX14CSC
6	Occlusal/incisal restoration	OHX14CSC
7	Facial surface restoration	OHX14CSC
8	Mesial restoration	OHX14CSC
9	Distal restoration	OHX14CSC
< blank >	Missing	OHX14CSC
D	Sound primary tooth	OHX14CTC
E	Missing due to dental disease	OHX14CTC
J	Permanent root tip is present but no restorative replacement is present	OHX14CTC
K	Primary tooth with surface condition (s)	OHX14CTC
M	Missing due to other causes	OHX14CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX14CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX14CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX14CTC
S	Sound permanent tooth	OHX14CTC
T	Permanent root tip is present but a restorative replacement is present	OHX14CTC
U	Unerupted	OHX14CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX14CTC
Y	Tooth present, condition cannot be assessed	OHX14CTC
Z	Permanent tooth with surface condition (s)	OHX14CTC
< blank >	Missing	OHX14CTC
Dental Sealants:  #14	Value was recorded	OHX14SE
0	Sealant not present	OHX14SE
1	Occlusal sealant on permanent tooth	OHX14SE
2	Facial sealant on permanent tooth	OHX14SE
3	Lingual sealant on permanent tooth	OHX14SE
4	Occlusal sealant on primary tooth	OHX14SE
9	Cannot be assessed	OHX14SE
< blank >	Missing	OHX14SE
1	Primary tooth (deciduous) present	OHX14TC
2	Permanent tooth present	OHX14TC
3	Dental implant	OHX14TC
4	Tooth not present	OHX14TC
5	Permanent dental root fragment present	OHX14TC
9	Could not assess	OHX14TC
.	Missing	OHX14TC
Coronal Caries:  Surface condition #15	Value was recorded	OHX15CSC
0	Lingual surface caries	OHX15CSC
1	Occlusal/incisal caries	OHX15CSC
2	Facial surface caries	OHX15CSC
3	Mesial caries	OHX15CSC
4	Distal caries	OHX15CSC
5	Lingual surface restoration	OHX15CSC
