Variable.Name	Variable.Description
OHQ030	The next questions are about {your/SP's} teeth and gums.  About how long has it been since {you/SP} last visited a dentist? Incl
OHQ033	What was the main reason {you/SP} last visited the dentist?
OHQ610	In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about... .
OHQ612	(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...)
OHQ614	(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...)
OHQ620	How often during the last year (have you/ has SP) had painful aching anywhere in (your/his/her) mouth?  Would you say....
OHQ640	How often during the last year {have you/has SP} had difficulty doing {your/his/her} usual jobs or attending school because of p
OHQ680	How often during the last year {have you/has SP} been self-conscious or embarrassed because of  {your/his/her} teeth, mouth or d
OHQ770	During the past 12 months was there a time when (you/SP) needed dental care but could not get it at that time?
OHQ780A	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780B	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780C	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780D	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780E	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780F	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780G	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780H	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780I	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780J	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ780K	What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?
OHQ835	The next questions will ask about the condition of {your/SP's} teeth and some factors related to gum health.  Gum disease is a c
OHQ845	Overall, how would {you/SP} rate the health of {your/his/her} teeth and gums?
OHQ850	{Have you/Has SP} ever had treatment for gum disease such as scaling and root planing, sometimes called "deep cleaning"?
OHQ855	{Have you/Has SP} ever had any teeth become loose on their own, without an injury?
OHQ860	{Have you/Has SP} ever been told by a dental professional that {you/s/he} lost bone around [your/his/her} teeth?
OHQ865	During the past three months, {have you/has SP} noticed a tooth that doesn't look right?
OHQ870	Aside from brushing {your/his/her} teeth with a toothbrush, in the last seven days, how many days did {you/SP} use dental floss 
OHQ875	Aside from brushing {your/his/her} teeth with a toothbrush, in the last seven days, how many days did {you/SP} use mouthwash or 
OHQ880	{Have you/Has SP} ever had an exam for oral cancer in which the doctor or dentist pulls on {your/his/her} tongue, sometimes with
OHQ885	{Have you/Has SP} ever had an exam for oral cancer in which the doctor or dentist feels {your/his/her} neck?
OHQ895	When did {you/SP} have {your/his/her} most recent oral or mouth cancer exam?  Was it within the past year, between 1 and 3 years
OHQ900	What type of health care professional performed {your/SP's} most recent oral cancer exam?
SEQN	Respondent sequence number.
