Variable.Name	Variable.Description
AIALANGA	Language of the MEC ACASI Interview Instrument
DMDBORN4	In what country {were you/was SP} born?
DMDCITZN	{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv
DMDEDUC2	What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDEDUC3	What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDFMSIZ	Total number of people in the Family
DMDHHSIZ	Total number of people in the Household
DMDHHSZA	Number of children aged 5 years or younger in the household
DMDHHSZB	Number of children aged 6-17 years old in the household
DMDHHSZE	Number of adults aged 60 years or older in the household
DMDHRAGE	HH reference person's age in years
DMDHRBR4	HH reference person's country of birth
DMDHREDU	HH reference person's education level
DMDHRGND	HH reference person's gender
DMDHRMAR	HH reference person's marital status
DMDHSEDU	HH reference person's spouse's education level
DMDMARTL	Marital status
DMDYRSUS	Length of time the participant has been in the US.
DMQADFC	Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (Thi
DMQMILIZ	{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does n
FIAINTRP	Was an interpreter used to conduct the Family interview?
FIALANG	Language of the Family Interview Instrument
FIAPROXY	Was a Proxy respondent used in conducting the Family Interview?
INDFMIN2	Total family income (reported as a range value in dollars)
INDFMPIR	A ratio of family income to poverty guidelines.
INDHHIN2	Total household income (reported as a range value in dollars)
MIAINTRP	Was an interpreter used to conduct the MEC CAPI interview?
MIALANG	Language of the MEC CAPI Interview Instrument
MIAPROXY	Was a Proxy respondent used in conducting the MEC CAPI Interview?
RIAGENDR	Gender of the participant.
RIDAGEMN	Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (o
RIDAGEYR	Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
RIDEXAGM	Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examin
RIDEXAGY	Age in years of the participant at the time of examination. Reported for persons aged 2-19 years at the time of screening.
RIDEXMON	Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31
RIDEXPRG	Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
RIDRETH1	Recode of reported race and Hispanic origin information
RIDRETH3	Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category
RIDSTATR	Interview and examination status of the participant.
SDDSRVYR	Data release cycle
SDMVPSU	Masked variance unit pseudo-PSU variable for variance estimation
SDMVSTRA	Masked variance unit pseudo-stratum variable for variance estimation
SEQN	Respondent sequence number.
SIAINTRP	Was an interpreter used to conduct the Sample Person (SP) interview?
SIALANG	Language of the Sample Person Interview Instrument
SIAPROXY	Was a Proxy respondent used in conducting the Sample Person (SP) interview?
WTINT2YR	Interviewed participants.
WTMEC2YR	Both interviewed and MEC examined participants.
