Variable.Name	Variable.Description
AIALANG	Language of the MEC ACASI Interview Instrument
DMDBORN	In what country {were you/was SP} born?
DMDCITZN	{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv
DMDEDUC	(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/
DMDEDUC2	(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/
DMDEDUC3	(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/
DMDHHSIZ	Total number of people in the Household
DMDHRAGE	Age in years of the household reference person at the time of HH screening.  Individuals 85 and over are topcoded at 85 years of
DMDHRBRN	In what country {were you/was NON-SP Head} born?
DMDHREDU	What is the highest grade or level of school {you have/NON_SP HEAD has} received?
DMDHRGND	Gender of the household reference person
DMDHRMAR	Marital Status of household reference person
DMDHSEDU	What is the highest grade or level of school {you have/NON-SP SPOUSE has completed or the highest degree {you have/he/she has} r
DMDMARTL	Marital Status
DMDSCHOL	{Are you/Is SP} now . . .
DMDYRSUS	Length of time SP has been in the US.
DMQMILIT	Did {you/SP} ever serve in the Armed Forces of the United States?
FIAINTRP	Was an interpreter used to conduct the Family interview?
FIALANG	Language of the Family Interview Instrument
FIAPROXY	Was a Proxy respondent used in conducting the Family Interview?
INDFMINC	Total family income (reported as a range value in dollars)
INDFMPIR	Poverty income ratio (PIR) - a ratio of family income to poverty threshold
INDHHINC	Total household income (reported as a range value in dollars)
MIAINTRP	Was an interpreter used to conduct the MEC CAPI interview?
MIALANG	Language of the CAPI MEC Interview Instrument
MIAPROXY	Was a Proxy respondent used in conducting the MEC CAPI Interview?
RIAGENDR	Gender of the sample person
RIDAGEEX	Best age in months at date of examination for individuals under 85 years of age at screening.
RIDAGEMN	Best age in months at date of screening for individuals under 85 years of age.
RIDAGEYR	Best age in years of the sample person at time of HH screening.  Individuals 85 and over are topcoded at 85 years of age.
RIDEXMON	Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31
RIDEXPRG	Pregnancy status at the time of MEC exam.
RIDRETH1	Recode of reported race and ethnicity information.
RIDRETH2	Linked NH3 Race and Ethnicity Recode.
RIDSTATR	Interview and Examination Status of the Sample Person.
SDDSRVYR	Data Release Number.
SDMVPSU	Masked Variance Unit Pseudo-PSU variable for variance estimation
SDMVSTRA	Masked Variance Unit Pseudo-Stratum variable for variance estimation
SEQN	Respondent sequence number.
SIAINTRP	Was an interpreter used to conduct the Sample Person (SP) interview?
SIALANG	Language of the Sample Person Interview Instrument
SIAPROXY	Was a Proxy respondent used in conducting the Sample Person (SP) interview?
WTINT2YR	Interviewed Sample Persons.
WTMEC2YR	Both Interviewed and MEC Examined Sample Persons.
