Variable.Name	Variable.Description
OHDDESTS	Dentition Status Code
OHDEXSTS	Overall Oral Health Exam Status
OHX01TC	Tooth Count:  Upper right 3rd molar (3M)
OHX02CSC	Coronal Caries:  Upper right 2nd molar (2M) surface calls.
"These values can be recorded as a string variable, for example:""0"", "	
OHX02CTC	Coronal Caries:  Upper right 2nd molar (2M) tooth code
OHX02SE	Dental Sealants:  Upper right 2nd molar (2M) sealant codes.
"These values can be recorded as a string variable, for example:""0"","	
OHX02TC	Tooth Count:  Upper right 2nd molar (2M)
OHX03CSC	"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""1"
OHX03CTC	Coronal Caries:  Upper right 1st molar (1M) tooth code
OHX03SE	Dental Sealants:  Upper right 1st molar (1M) sealant codes.
"These values can be recorded as a string variable, for example:""0"","	
OHX03TC	Tooth Count:  Upper right 1st molar (1M)
OHX04CSC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable
OHX04CTC	Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code
OHX04SE	Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string vari	
OHX04TC	Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)
OHX05CSC	Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variabl
OHX05CTC	Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code
OHX05SE	Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string vari	
OHX05TC	Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)
OHX06CSC	"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "
OHX06CTC	Coronal Caries:  Upper right cuspid (C) tooth code
OHX06TC	Tooth Count:  Upper right cuspid (C)
OHX07CSC	"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""
OHX07CTC	Coronal Caries:  Upper right lateral incisor (LI) tooth code
OHX07SE	Dental Sealants:  Upper right lateral incisor (LI) sealant codes.
These values can be recorded as a string variable, for exampl	
OHX07TC	Tooth Count:  Upper right lateral incisor (LI)
OHX08CSC	"Coronal Caries:  Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""
OHX08CTC	Coronal Caries:  Upper right central incisor (CI) tooth code
OHX08TC	Tooth Count:  Upper right central incisor (CI)
OHX09CSC	"Coronal Caries:  Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"
OHX09CTC	Coronal Caries:  Upper left central incisor (CI) tooth code
OHX09TC	Tooth Count:  Upper left central incisor (CI)
OHX10CSC	"Coronal Caries:  Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"
OHX10CTC	Coronal Caries:  Upper left lateral incisor (LI) tooth code
